,UP,Total por cidade,Até 1/4 de salário mínimo,Mais de 1/4 a 1/2 salário mínimo,Mais de 1/2 a 1 salário mínimo,Mais de 1 a 2 salários mínimos,Mais de 2 a 3 salários mínimos,Mais de 3 a 5 salários mínimos,Mais de 5 salários mínimos,Sem rendimento claro,Sem renda clara
128,Primavera,4241,317,902,1475,909,269,201,163,1,4
129,Quipapá,2471,185,525,859,530,157,117,95,1,2
130,Quixaba,1681,125,357,584,360,106,79,64,0,6
131,Recife,450086,33700,95748,156547,96566,28634,21347,17357,182,5
132,Riacho das Almas,6150,460,1308,2139,1319,391,291,237,2,3
133,Ribeirão,7128,533,1516,2479,1529,453,338,274,2,4
134,Rio Formoso,4637,347,986,1612,994,295,219,178,1,5
135,Sairé,3828,286,814,1331,821,243,181,147,1,4
136,Salgadinho,631,47,134,219,135,40,29,24,0,3
137,Salgueiro,19710,1475,4192,6855,4228,1253,934,760,7,6
138,Saloá,2996,224,637,1042,642,190,142,115,1,3
139,Sanharó,3752,280,798,1305,804,238,177,144,1,5
140,Santa Cruz,4366,326,928,1518,936,277,207,168,1,5
141,Santa Cruz da Baixa Verde,2544,190,541,884,545,161,120,98,1,4
142,Santa Cruz do Capibaribe,27870,2086,5928,9693,5979,1773,1321,1074,11,5
143,Santa Filomena,3332,249,708,1158,714,211,158,128,1,5
144,Santa Maria da Boa Vista,11400,853,2425,3965,2445,725,540,439,4,4
145,Santa Maria do Cambucá,3617,270,769,1258,776,230,171,139,1,3
146,Santa Terezinha,2549,190,542,886,546,162,120,98,1,4
147,São Benedito do Sul,2600,194,553,904,557,165,123,100,1,3
148,São Bento do Una,9125,683,1941,3173,1957,580,432,351,3,5
149,São Caitano,11037,826,2347,3838,2367,702,523,425,4,5
150,São João,6234,466,1326,2168,1337,396,295,240,2,4
151,São Joaquim do Monte,4796,359,1020,1668,1028,305,227,184,1,4
152,São José da Coroa Grande,5344,400,1136,1858,1146,339,253,206,2,4
153,São José do Belmonte,10294,770,2189,3580,2208,654,488,396,4,5
154,São José do Egito,8441,632,1795,2935,1811,537,400,325,3,3
155,São Lourenço da Mata,36307,2718,7723,12628,7789,2309,1722,1400,14,4
156,Serra Talhada,31026,2323,6600,10791,6656,1973,1471,1196,12,4
157,Serrita,5437,407,1156,1891,1166,345,257,209,2,4
158,Sertânia,8986,672,1911,3125,1927,571,426,346,3,5
159,Sirinhaém,9330,698,1984,3245,2001,593,442,359,3,5
160,Solidão,1185,88,252,412,254,75,56,45,0,3
161,Surubim,18709,1400,3980,6507,4014,1190,887,721,7,3
162,Tabira,7441,557,1582,2588,1596,473,352,286,3,4
163,Tacaimbó,3732,279,793,1298,800,237,177,143,1,4
164,Tacaratu,6033,451,1283,2098,1294,383,286,232,2,4
165,Tamandaré,7217,540,1535,2510,1548,459,342,278,2,3
166,Taquaritinga do Norte,6188,463,1316,2152,1327,393,293,238,2,4
167,Terezinha,1456,109,309,506,312,92,69,56,0,3
168,Terra Nova,2929,219,623,1018,628,186,138,112,1,4
169,Timbaúba,10273,769,2185,3573,2204,653,487,396,4,2
170,Toritama,11244,841,2391,3910,2412,715,533,433,4,5
171,Tracunhaém,4074,305,866,1417,874,259,193,157,1,2
172,Trindade,8791,658,1870,3057,1886,559,416,339,3,3
173,Triunfo,4487,335,954,1560,962,285,212,173,1,5
174,Tupanatinga,6496,486,1381,2259,1393,413,308,250,2,4
175,Tuparetama,2124,159,451,738,455,135,100,81,0,5
176,Venturosa,5176,387,1101,1800,1110,329,245,199,2,3
177,Verdejante,2298,172,488,799,493,146,108,88,0,4
178,Vertente do Lério,1848,138,393,642,396,117,87,71,0,4
179,Vertentes,6283,470,1336,2185,1348,399,298,242,2,3
180,Vicência,6932,519,1474,2411,1487,441,328,267,2,3
181,Vitória de Santo Antão,40526,3034,8621,14095,8694,2578,1922,1562,16,4
182,Xexéu,2591,194,551,901,555,164,122,99,1,4
